random_seed,training_ratio,epochs,batch_size,N,scaling,sae_hidden_layers,SAE_ACTIVATION,SAE_BIAS,SAE_OPTIMIZER,SAE_LOSS,classifier_hidden_layers,CLASSIFIER_ACTIVATION,CLASSIFIER_BIAS,CLASSIFIER_OPTIMIZER,CLASSIFIER_LOSS,dropout,acc_bld,acc_flr,acc_bf,loc_failure,mean_pos_err,mean_pos_err_weighted
0,0.9,20,10,8,0.2,"[512, 256, 512, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99459946,0.912691269,0.908190819,0,10.01692211,9.634319764
0,0.9,20,10,8,0.2,"[512, 256, 512, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.901890189,0.900990099,0,10.36942618,10.1368292
0,0.9,20,10,8,0.2,"[512, 256, 512, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99639964,0.911791179,0.909990999,0.00098912,9.099426531,8.868653103
0,0.9,20,10,8,0.2,"[512, 512, 64, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99729973,0.920792079,0.920792079,0,10.17976508,9.834715138
0,0.9,20,10,8,0.2,"[512, 512, 64, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,1,0.920792079,0.920792079,0.001955034,9.825297611,9.494479738
0,0.9,20,10,8,0.2,"[512, 512, 64, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.912691269,0.910891089,0,9.844000646,9.36551793
0,0.9,20,10,8,0.2,"[512, 512, 64, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.921692169,0.919891989,0.003913894,10.18575124,9.865129366
0,0.9,20,10,8,0.2,"[512, 512, 128, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99729973,0.921692169,0.920792079,0,10.10265293,9.750598376
0,0.9,20,10,8,0.2,"[512, 512, 128, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99549955,0.896489649,0.894689469,0.001006036,9.855896743,9.54745504
0,0.9,20,10,8,0.2,"[512, 512, 128, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.919891989,0.919891989,0.001956947,10.32030895,10.01291805
0,0.9,20,10,8,0.2,"[512, 512, 128, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99729973,0.904590459,0.903690369,0,9.284276145,8.969666847
0,0.9,20,10,8,0.2,"[512, 512, 256, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99639964,0.936993699,0.936093609,0,10.02516549,9.731379756
0,0.9,20,10,8,0.2,"[512, 512, 256, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99639964,0.902790279,0.900990099,0.000999001,10.25829435,9.745881296
0,0.9,20,10,8,0.2,"[512, 512, 256, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99729973,0.894689469,0.893789379,0,10.01891179,9.639250472
0,0.9,20,10,8,0.2,"[512, 512, 256, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.900090009,0.900090009,0,9.415974753,9.090220833
0,0.9,20,10,8,0.2,"[512, 512, 512, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99639964,0.920792079,0.918091809,0,10.05619108,9.758951467
0,0.9,20,10,8,0.2,"[512, 512, 512, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.915391539,0.915391539,0,10.50711999,10.22683758
0,0.9,20,10,8,0.2,"[512, 512, 512, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99639964,0.903690369,0.903690369,0,9.305429151,8.882708995
0,0.9,20,10,8,0.2,"[512, 512, 512, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.891989199,0.891089109,0,9.769569244,9.397080735
0,0.9,20,10,8,0.2,"[64, 64, 256, 512]",relu,False,adam,mse,"[64, 128]",relu,False,adam,binary_crossentropy,0.2,0.9954995499549955,0.891989198919892,0.8901890189018902,0.0,9.748276900410232,9.499426376417412
